Id,SalePrice
1461,183743.6157719792
1462,114441.45949627603
1463,188080.79209202388
1464,180514.3051423807
1465,170745.83691793223
1466,180557.5197615116
1467,173609.7227219187
1468,177418.56697191403
1469,180903.23671455862
1470,177414.63837017486
1471,172421.3855596886
1472,164214.53652656058
1473,164214.53652656058
1474,165393.11704831186
1475,165393.11704831186
1476,186171.49164678683
1477,186220.59916852647
1478,183543.2570832815
1479,188654.36794594285
1480,189004.01350072905
1481,187727.2179354985
1482,174923.9048675405
1483,197242.29134777046
1484,167206.16675093924
1485,187039.7126311436
1486,177762.3196240915
1487,195158.1681251403
1488,178567.68298062152
1489,179015.543578887
1490,181421.8121441292
1491,184328.97743111567
1492,180164.6595875945
1493,191184.3874659689
1494,186731.31739461867
1495,182785.0369476215
1496,170411.9057701027
1497,167819.0286222499
1498,167229.73836137427
1499,165911.69247788243
1500,165911.69247788243
1501,166768.1276570217
1502,165634.72605527088
1503,186161.6701424389
1504,175409.0871823281
1505,176628.9180223407
1506,181453.24095804256
1507,182111.2817493537
1508,197916.04654603827
1509,179771.79941367742
1510,179771.79941367742
1511,180361.08967455305
1512,179928.94348324425
1513,181736.10028326287
1514,186961.14059636017
1515,180015.372721506
1516,195014.77416166055
1517,174328.5271124487
1518,177153.38635452
1519,175227.93972383084
1520,176727.13306581994
1521,181981.63789196106
1522,180620.37738933833
1523,177379.2809545223
1524,182423.60558761779
1525,182315.56903979057
1526,187603.46698071464
1527,176428.55933364294
1528,176754.63327799414
1529,175911.948204942
1530,180086.08755281108
1531,170343.15523966722
1532,169724.4004657478
1533,172317.2776136006
1534,174468.18706579666
1535,184193.44067111428
1536,177098.3859301716
1537,179881.8002623742
1538,179771.79941367742
1539,178593.21889192614
1540,178681.61243105747
1541,181657.52824847944
1542,172366.38513534024
1543,176222.30774233647
1544,170736.0154135843
1545,172700.31628316976
1546,172700.31628316976
1547,173407.46459622052
1548,172700.31628316976
1549,173171.74849187027
1550,173171.74849187027
1551,172936.03238752
